file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,f2a068b4,van013-svg,2026-04-02,00:57:58,-07:00,2026-04-02T00:57:58-07:00,0,4
style.css,2,css,f2a068b4,van013-svg,2026-04-02,00:57:58,-07:00,2026-04-02T00:57:58-07:00,1,23
style.css,3,css,b50277a6,van013-svg,2026-04-10,00:14:20,-07:00,2026-04-10T00:14:20-07:00,1,15
style.css,4,css,b50277a6,van013-svg,2026-04-10,00:14:20,-07:00,2026-04-10T00:14:20-07:00,1,42
style.css,5,css,48b1a114,van013-svg,2026-04-10,00:00:10,-07:00,2026-04-10T00:00:10-07:00,1,15
style.css,6,css,48b1a114,van013-svg,2026-04-10,00:00:10,-07:00,2026-04-10T00:00:10-07:00,0,0
style.css,7,css,48b1a114,van013-svg,2026-04-10,00:00:10,-07:00,2026-04-10T00:00:10-07:00,0,0
style.css,8,css,48b1a114,van013-svg,2026-04-10,00:00:10,-07:00,2026-04-10T00:00:10-07:00,0,5
style.css,9,css,48b1a114,van013-svg,2026-04-10,00:00:10,-07:00,2026-04-10T00:00:10-07:00,1,31
style.css,10,css,48b1a114,van013-svg,2026-04-10,00:00:10,-07:00,2026-04-10T00:00:10-07:00,0,0
style.css,11,css,48b1a114,van013-svg,2026-04-10,00:00:10,-07:00,2026-04-10T00:00:10-07:00,0,0
style.css,12,css,48b1a114,van013-svg,2026-04-10,00:00:10,-07:00,2026-04-10T00:00:10-07:00,0,4
style.css,13,css,bb14a253,van013-svg,2026-04-17,17:16:58,-07:00,2026-04-17T17:16:58-07:00,1,23
style.css,14,css,48b1a114,van013-svg,2026-04-10,00:00:10,-07:00,2026-04-10T00:00:10-07:00,1,32
style.css,15,css,fcdd51aa,van013-svg,2026-04-04,18:38:37,-07:00,2026-04-04T18:38:37-07:00,0,0
style.css,16,css,fcdd51aa,van013-svg,2026-04-04,18:38:37,-07:00,2026-04-04T18:38:37-07:00,0,0
style.css,17,css,fcdd51aa,van013-svg,2026-04-04,18:38:37,-07:00,2026-04-04T18:38:37-07:00,0,14
style.css,18,css,fcdd51aa,van013-svg,2026-04-04,18:38:37,-07:00,2026-04-04T18:38:37-07:00,1,16
style.css,19,css,aa7fcc5f,van013-svg,2026-04-04,18:49:20,-07:00,2026-04-04T18:49:20-07:00,0,0
style.css,20,css,aa7fcc5f,van013-svg,2026-04-04,18:49:20,-07:00,2026-04-04T18:49:20-07:00,0,0
style.css,21,css,aa7fcc5f,van013-svg,2026-04-04,18:49:20,-07:00,2026-04-04T18:49:20-07:00,0,3
style.css,22,css,bd8a008a,van013-svg,2026-04-17,17:09:34,-07:00,2026-04-17T17:09:34-07:00,1,39
style.css,23,css,bd8a008a,van013-svg,2026-04-17,17:09:34,-07:00,2026-04-17T17:09:34-07:00,0,0
style.css,24,css,aa7fcc5f,van013-svg,2026-04-04,18:49:20,-07:00,2026-04-04T18:49:20-07:00,1,12
style.css,25,css,48b1a114,van013-svg,2026-04-10,00:00:10,-07:00,2026-04-10T00:00:10-07:00,1,17
style.css,26,css,aa7fcc5f,van013-svg,2026-04-04,18:49:20,-07:00,2026-04-04T18:49:20-07:00,1,41
style.css,27,css,aa7fcc5f,van013-svg,2026-04-04,18:49:20,-07:00,2026-04-04T18:49:20-07:00,0,0
style.css,28,css,aa7fcc5f,van013-svg,2026-04-04,18:49:20,-07:00,2026-04-04T18:49:20-07:00,0,0
style.css,29,css,aa7fcc5f,van013-svg,2026-04-04,18:49:20,-07:00,2026-04-04T18:49:20-07:00,0,5
style.css,30,css,aa7fcc5f,van013-svg,2026-04-04,18:49:20,-07:00,2026-04-04T18:49:20-07:00,1,6
style.css,31,css,aa7fcc5f,van013-svg,2026-04-04,18:49:20,-07:00,2026-04-04T18:49:20-07:00,1,20
style.css,32,css,aa7fcc5f,van013-svg,2026-04-04,18:49:20,-07:00,2026-04-04T18:49:20-07:00,1,13
style.css,33,css,aa7fcc5f,van013-svg,2026-04-04,18:49:20,-07:00,2026-04-04T18:49:20-07:00,1,17
style.css,34,css,aa7fcc5f,van013-svg,2026-04-04,18:49:20,-07:00,2026-04-04T18:49:20-07:00,1,15
style.css,35,css,aa7fcc5f,van013-svg,2026-04-04,18:49:20,-07:00,2026-04-04T18:49:20-07:00,0,0
style.css,36,css,aa7fcc5f,van013-svg,2026-04-04,18:49:20,-07:00,2026-04-04T18:49:20-07:00,0,0
style.css,37,css,aa7fcc5f,van013-svg,2026-04-04,18:49:20,-07:00,2026-04-04T18:49:20-07:00,0,13
style.css,38,css,aa7fcc5f,van013-svg,2026-04-04,18:49:20,-07:00,2026-04-04T18:49:20-07:00,1,43
style.css,39,css,aa7fcc5f,van013-svg,2026-04-04,18:49:20,-07:00,2026-04-04T18:49:20-07:00,1,20
style.css,40,css,c9660d7c,van013-svg,2026-04-05,12:37:27,-07:00,2026-04-05T12:37:27-07:00,0,0
